,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,mataura,NZ,-46.19,168.86,29.83,81.0,8.0,2.57
1,jamestown,AU,-33.21,138.6,50.08,100.0,88.0,13.31
5,wucheng,CN,29.09,119.57,74.47,85.0,68.0,2.13
6,barrow,AR,-38.31,-60.23,51.7,49.0,80.0,15.43
7,great falls,US,47.5,-111.29,69.98,29.0,1.0,21.92
8,ushuaia,AR,-54.81,-68.31,41.0,69.0,75.0,21.92
9,camacha,PT,33.08,-16.33,77.0,69.0,40.0,20.8
11,tiksi,RU,71.64,128.87,57.01,67.0,48.0,15.88
12,new norfolk,AU,-42.78,147.06,48.2,81.0,92.0,6.93
13,lebu,ET,8.96,38.73,62.6,77.0,75.0,4.7
14,gravdal,NO,59.79,5.78,59.0,67.0,20.0,14.99
16,northam,GB,51.04,-4.21,64.4,55.0,20.0,6.93
17,hasaki,JP,35.73,140.83,78.8,88.0,75.0,4.7
18,sao filipe,CV,14.9,-24.5,79.06,98.0,56.0,12.86
19,punta arenas,CL,-53.16,-70.91,42.8,93.0,40.0,21.92
21,sistranda,NO,63.73,8.83,53.6,81.0,75.0,13.87
22,cap-aux-meules,CA,47.38,-61.86,64.4,82.0,90.0,24.16
23,upernavik,GL,72.79,-56.15,36.85,100.0,64.0,14.99
24,port hardy,CA,50.7,-127.42,55.4,93.0,40.0,2.24
25,labuhan,ID,-2.54,115.51,72.4,93.0,36.0,1.79
26,katsuura,JP,33.93,134.5,76.45,94.0,64.0,3.47
27,east london,ZA,-33.02,27.91,64.4,88.0,20.0,6.93
30,albany,US,42.65,-73.75,80.06,64.0,75.0,8.05
31,rikitea,PF,-23.12,-134.97,67.0,100.0,92.0,15.43
32,bathsheba,BB,13.22,-59.52,86.0,70.0,40.0,19.46
34,kenora,CA,49.76,-94.48,69.8,73.0,1.0,18.34
35,kapaa,US,22.08,-159.32,77.0,79.0,40.0,14.99
36,xichang,CN,27.88,102.25,58.99,87.0,56.0,1.23
37,victoria,BN,5.28,115.24,82.4,94.0,75.0,5.93
41,kavieng,PG,-2.57,150.8,80.95,100.0,88.0,7.38
42,bubaque,GW,11.28,-15.83,77.0,88.0,40.0,14.99
43,bayan,MN,47.25,107.54,49.63,83.0,80.0,4.36
44,warrington,GB,53.39,-2.59,64.4,48.0,20.0,1.12
45,tasiilaq,GL,65.61,-37.64,42.8,70.0,92.0,56.93
46,vao,EE,59.1,26.19,61.69,91.0,92.0,2.13
47,nongan,CN,44.43,125.17,60.8,87.0,40.0,2.24
48,ilulissat,GL,69.22,-51.1,37.4,97.0,75.0,5.82
49,butaritari,KI,3.07,172.79,83.29,100.0,88.0,3.36
50,padang,ID,-0.92,100.36,76.45,100.0,76.0,5.59
52,hilo,US,19.71,-155.08,73.94,84.0,20.0,8.05
53,klaksvik,FO,62.23,-6.59,51.8,76.0,68.0,10.29
55,evinayong,GQ,1.44,10.55,72.31,97.0,88.0,2.46
57,san jose,PH,15.79,120.99,70.6,100.0,48.0,1.79
59,nikolskoye,RU,59.7,30.79,64.4,82.0,20.0,4.47
62,beringovskiy,RU,63.05,179.32,49.36,98.0,32.0,20.92
65,hobart,AU,-42.88,147.33,48.2,81.0,92.0,6.93
66,busselton,AU,-33.64,115.35,53.95,100.0,76.0,9.73
67,khatanga,RU,71.98,102.47,36.49,69.0,76.0,17.67
68,jamame,SO,0.07,42.75,75.91,77.0,92.0,14.09
69,hithadhoo,MV,-0.6,73.08,83.29,100.0,48.0,1.12
70,shreveport,US,32.52,-93.77,87.98,63.0,1.0,3.36
71,georgetown,GY,6.8,-58.16,89.6,55.0,75.0,6.93
72,tuktoyaktuk,CA,69.44,-133.03,42.8,93.0,90.0,11.41
74,cidreira,BR,-30.17,-50.22,78.16,73.0,48.0,6.93
